iter	Passed	Remaining
0	196	58840
1	206	30842
2	215	21305
3	223	16575
4	232	13692
5	240	11789
6	248	10385
7	256	9364
8	265	8576
9	275	7990
10	282	7417
11	292	7008
12	298	6598
13	310	6334
14	321	6109
15	328	5835
16	338	5641
17	347	5440
18	355	5255
19	362	5071
20	371	4930
21	378	4783
22	389	4686
23	396	4556
24	405	4460
25	413	4359
26	425	4298
27	435	4232
28	443	4140
29	451	4061
30	458	3981
31	466	3904
32	475	3848
33	485	3796
34	492	3727
35	500	3670
36	508	3613
37	518	3577
38	530	3547
39	539	3503
40	549	3470
41	557	3427
42	567	3391
43	574	3344
44	584	3311
45	593	3275
46	604	3252
47	614	3226
48	623	3193
49	631	3157
50	640	3126
51	649	3097
52	658	3068
53	667	3041
54	674	3004
55	683	2979
56	693	2954
57	703	2933
58	710	2901
59	719	2876
60	726	2846
61	736	2827
62	743	2798
63	752	2775
64	761	2754
65	772	2737
66	786	2736
67	799	2727
68	807	2704
69	818	2690
70	831	2681
71	841	2663
72	851	2647
73	861	2630
74	871	2613
75	881	2597
76	890	2579
77	901	2564
78	910	2546
79	920	2530
80	932	2521
81	942	2506
82	952	2491
83	964	2480
84	972	2459
85	981	2443
86	990	2424
87	999	2407
88	1008	2391
89	1017	2373
90	1026	2357
91	1034	2339
92	1043	2323
93	1051	2304
94	1061	2290
95	1069	2271
96	1079	2258
97	1088	2242
98	1097	2228
99	1105	2210
100	1113	2193
101	1121	2177
102	1132	2165
103	1140	2149
104	1148	2133
105	1157	2118
106	1164	2100
107	1173	2085
108	1181	2070
109	1191	2058
110	1200	2044
111	1210	2032
112	1219	2017
113	1229	2005
114	1239	1993
115	1247	1978
116	1255	1964
117	1265	1951
118	1274	1939
119	1284	1926
120	1293	1913
121	1301	1898
122	1309	1884
123	1318	1871
124	1326	1857
125	1334	1842
126	1343	1829
127	1350	1814
128	1359	1801
129	1367	1788
130	1377	1776
131	1385	1763
132	1393	1749
133	1399	1733
134	1408	1721
135	1415	1706
136	1424	1694
137	1431	1680
138	1440	1668
139	1448	1654
140	1456	1642
141	1463	1628
142	1472	1616
143	1479	1602
144	1488	1590
145	1495	1577
146	1504	1566
147	1512	1553
148	1521	1542
149	1528	1528
150	1537	1516
151	1544	1503
152	1553	1492
153	1560	1479
154	1569	1468
155	1576	1455
156	1586	1445
157	1593	1432
158	1601	1420
159	1608	1407
160	1617	1396
161	1625	1384
162	1633	1372
163	1642	1361
164	1652	1351
165	1659	1339
166	1667	1327
167	1675	1316
168	1683	1304
169	1690	1292
170	1697	1280
171	1705	1269
172	1712	1257
173	1720	1246
174	1728	1234
175	1736	1223
176	1743	1211
177	1752	1201
178	1759	1189
179	1769	1179
180	1776	1168
181	1786	1158
182	1793	1146
183	1805	1138
184	1814	1127
185	1821	1116
186	1829	1105
187	1837	1094
188	1844	1083
189	1852	1072
190	1859	1061
191	1868	1051
192	1875	1039
193	1885	1029
194	1892	1018
195	1900	1008
196	1908	997
197	1918	988
198	1928	978
199	1935	967
200	1942	956
201	1951	946
202	1961	937
203	1972	928
204	1982	918
205	1988	907
206	1998	897
207	2008	888
208	2016	877
209	2023	867
210	2031	856
211	2039	846
212	2047	836
213	2058	827
214	2066	816
215	2074	806
216	2084	797
217	2092	786
218	2098	776
219	2106	765
220	2113	755
221	2120	744
222	2128	734
223	2135	724
224	2144	714
225	2154	705
226	2163	695
227	2170	685
228	2180	676
229	2187	665
230	2197	656
231	2204	646
232	2212	636
233	2218	625
234	2227	616
235	2234	606
236	2243	596
237	2251	586
238	2260	577
239	2269	567
240	2278	557
241	2287	548
242	2295	538
243	2311	530
244	2327	522
245	2353	516
246	2368	508
247	2384	499
248	2399	491
249	2415	483
250	2429	474
251	2444	465
252	2459	456
253	2476	448
254	2491	439
255	2510	431
256	2526	422
257	2540	413
258	2554	404
259	2570	395
260	2578	385
261	2589	375
262	2596	365
263	2606	355
264	2616	345
265	2625	335
266	2634	325
267	2642	315
268	2652	305
269	2660	295
270	2670	285
271	2677	275
272	2687	265
273	2694	255
274	2703	245
275	2711	235
276	2720	225
277	2727	215
278	2737	206
279	2744	196
280	2754	186
281	2761	176
282	2770	166
283	2777	156
284	2791	146
285	2800	137
286	2809	127
287	2820	117
288	2827	107
289	2837	97
290	2844	87
291	2854	78
292	2861	68
293	2871	58
294	2880	48
295	2888	39
296	2895	29
297	2904	19
298	2913	9
299	2924	0
