Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScoreBins
0,0,50.0,4,0.3071601700913706,2.0,0,1,0.7258077146367478,2
1,0,44.0,6,0.24154588024165513,1.0,1,1,0.8902569695405911,3
0,1,45.0,2,0.0,2.0,1,0,0.6282935020294438,0
0,1,68.0,5,0.32900653010152453,2.0,1,1,0.7322520800736471,1
1,1,38.91621420206537,1,0.608523883143152,1.0,1,1,0.959901220566564,0
0,1,38.91621420206537,5,0.229451487653812,1.0,1,1,0.3056127360162896,3
2,1,51.0,7,0.5749130653007363,2.0,1,0,0.2555322033254176,0
0,0,40.0,8,0.0,2.0,1,0,0.31053525611695915,0
2,1,40.0,5,0.5943888612304702,3.0,1,1,0.30015571487077014,2
2,1,45.0,1,0.4940242869126665,1.0,0,0,0.5544028454717425,1
0,1,33.0,1,0.5045427408395178,2.0,0,1,0.3107894303906023,3
1,1,41.0,5,0.0,2.0,0,1,0.07234545899133367,0
2,0,43.0,2,0.4816581505263751,1.0,1,0,0.03800377936092896,0
0,0,50.0,5,0.0,2.0,1,0,0.958816366963045,1
0,1,38.0,6,0.5113219474887195,3.0,1,0,0.04569626399321134,4
2,0,26.0,3,0.4081170566105147,1.0,1,0,0.596844048606642,2
0,1,43.0,2,0.0,2.0,1,1,0.8265399845685263,2
0,1,28.0,8,0.0,2.0,1,1,0.2630453208281391,3
0,0,39.0,6,0.0,2.0,0,1,0.13683091735260716,0
2,0,43.0,9,0.464907046522355,2.0,1,1,0.30085133130213937,3
0,1,39.0,4,0.5329139412739252,1.0,1,1,0.5407574923405185,1
2,1,38.91621420206537,1,0.4690788997237883,1.0,1,1,0.11563139279801221,2
0,1,61.0,1,0.0,2.0,1,1,0.9568883328357858,0
2,0,49.0,2,0.6028322096832225,2.0,1,1,0.8362116582133593,0
1,0,47.0,5,0.0,2.0,1,1,0.19481140448912868,0
2,0,34.0,7,0.39329012030342686,1.0,1,0,0.6945426788258279,1
0,1,38.91621420206537,1,0.0,1.0,1,0,0.9017554176423848,1
0,1,38.91621420206537,6,0.4447595834627518,1.0,1,1,0.8519384101181662,1
2,0,38.91621420206537,9,0.5360932799448573,1.0,1,0,0.09036102947831517,0
