Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Geography,Gender,CreditScoreBins,Balance,EstimatedSalary
18,1,1,1,0,1.0,0.0,1,0.5288789962490349,0.8384699738825058
18,1,1,1,1,0.0,1.0,2,0.39416158967172693,0.04792867718867151
18,2,1,0,0,0.0,0.0,4,0.6416152071942837,0.7296931856992342
18,2,1,1,1,1.0,0.0,4,0.5694437928961515,0.5881614194155541
18,2,2,1,0,0.0,0.0,2,0.702036033833498,0.648275110273031
18,3,1,0,0,1.0,1.0,2,0.5131318456828429,0.9866469747860921
18,4,1,1,0,0.0,1.0,0,0.329884615701937,0.35903588792729696
18,4,1,1,1,0.0,0.0,2,0.5322905008962007,0.2346715611340883
18,4,2,1,1,0.0,0.0,2,0.0,0.23896067074405603
18,5,2,0,1,1.0,0.0,1,0.44314219370900754,0.050265650369610296
18,7,1,0,1,2.0,0.0,1,0.0,0.2981967777922791
18,7,1,1,0,0.0,0.0,0,0.4104611159056652,0.8588770227556731
18,7,2,1,1,0.0,0.0,2,0.0,0.27873431912747665
18,8,2,1,0,2.0,0.0,1,0.0,0.29583245199916586
18,8,2,1,1,2.0,0.0,2,0.5372574577989015,0.5742914448329814
18,10,1,0,1,0.0,0.0,1,0.6048780203946551,0.6350743496003868
18,10,2,0,1,0.0,0.0,1,0.0,0.26394305656190165
19,0,1,0,0,1.0,0.0,2,0.3024662324053563,0.22803262711588954
19,1,2,0,1,0.0,1.0,1,0.0,0.11046194911614057
19,2,1,0,0,1.0,0.0,0,0.5016387330808298,0.6484565275983856
19,2,2,1,1,0.0,0.0,1,0.0,0.4551692686651575
19,3,1,1,1,1.0,1.0,1,0.4539910208164598,0.8807122080158656
19,3,2,1,1,0.0,1.0,3,0.0,0.6214880521089764
19,5,1,1,0,2.0,0.0,2,0.35771579608278414,0.9650768648405922
19,5,1,1,1,0.0,0.0,1,0.5087708718707266,0.2018046223414336
19,5,1,1,1,2.0,0.0,1,0.0,0.8845433238874313
19,5,2,1,0,0.0,1.0,1,0.3883867350285529,0.6141174482163045
19,5,2,1,0,2.0,0.0,1,0.0,0.7996230640026123
19,6,2,1,0,2.0,1.0,3,0.0,0.2774694483323157
19,6,2,1,1,0.0,0.0,2,0.0,0.7579234316877262
19,7,1,1,0,0.0,0.0,3,0.5715089740220821,0.1663721885440059
19,8,1,1,1,0.0,0.0,4,0.0,0.34282428971966816
19,8,1,1,1,1.0,0.0,1,0.6621544229372174,0.5399686170029238
19,8,2,1,0,1.0,1.0,3,0.4332897472435921,0.1242402149405268
19,9,1,0,0,0.0,0.0,1,0.5122192839331698,0.8798720777834284
19,9,1,1,0,2.0,1.0,3,0.0,0.9482382067487444
19,9,1,1,1,1.0,1.0,1,0.33278495663318924,0.7151219441456659
20,0,1,1,1,2.0,1.0,1,0.531344578988226,0.01977243826785458
20,1,1,0,0,0.0,0.0,2,0.32112532223740725,0.34308476459501874
20,2,2,1,0,1.0,1.0,1,0.48263934572000927,0.017592380072296902
20,3,1,1,0,2.0,0.0,1,0.7464961570652053,0.5172738496526418
20,3,1,1,1,2.0,0.0,2,0.6586777125326064,0.20809587315588635
20,3,2,1,1,0.0,0.0,1,0.0,0.7480823918684234
20,4,1,0,0,1.0,0.0,4,0.4956810153477056,0.9010168471088988
20,4,1,0,1,0.0,1.0,2,0.5332881569564759,0.751242893696348
20,4,1,1,0,0.0,0.0,1,0.38194961946501865,0.8887218729388657
20,4,1,1,1,0.0,0.0,1,0.0,0.27878702416080736
20,4,2,0,1,0.0,1.0,1,0.0,0.3915335914579842
20,4,2,1,0,2.0,1.0,1,0.0,0.5987954849688145
20,4,2,1,1,0.0,1.0,2,0.0,0.7019357848674548
20,5,2,1,1,2.0,0.0,1,0.0,0.2915176399346137
20,6,1,0,1,0.0,1.0,0,0.0,0.10249613838121538
20,6,1,1,0,0.0,1.0,1,0.6683413173850786,0.2896192586392
20,6,2,1,0,0.0,0.0,2,0.0,0.977466848083992
20,7,2,0,0,0.0,0.0,1,0.0,0.938223400334732
20,7,2,0,0,0.0,1.0,3,0.0,0.05390934834276673
20,7,2,1,0,0.0,0.0,4,0.0,0.15640088628464016
20,8,1,1,0,2.0,0.0,0,0.8139680537225294,0.6413452984760044
20,8,1,1,0,2.0,0.0,1,0.0,0.5512573950812302
20,8,2,0,0,0.0,0.0,1,0.0,0.562855952743487
20,8,2,1,0,2.0,0.0,3,0.0,0.8407861950816303
20,8,2,1,1,1.0,0.0,1,0.7185939119743798,0.14771970723204064
20,8,2,1,1,2.0,0.0,1,0.0,0.5673445314027489
20,8,2,1,1,2.0,0.0,2,0.0,0.061788550806602026
20,9,1,1,1,1.0,0.0,0,0.5375664677240071,0.5941266390940334
20,9,2,0,0,2.0,0.0,1,0.41653872295321187,0.36551465664971
20,9,2,1,0,2.0,1.0,1,0.4880332488780605,0.4339430415604689
20,10,1,0,0,0.0,1.0,1,0.4952881865302363,0.5028241697082071
21,0,2,0,1,0.0,1.0,2,0.33019115450420533,0.006986167178965591
21,0,2,1,0,0.0,1.0,1,0.0,0.58053014062843
21,1,1,1,0,1.0,1.0,2,0.14245501031913,0.1439055429793545
21,1,1,1,0,1.0,1.0,3,0.45553347974869,0.1575591468985288
21,1,1,1,1,2.0,1.0,1,0.3420439749063056,0.6655171568884828
21,1,2,0,0,2.0,0.0,0,0.0,0.5194984621031308
21,1,2,0,0,2.0,1.0,1,0.0,0.14358616247851666
21,1,2,1,0,0.0,0.0,1,0.0,0.33113487338040776
21,1,2,1,0,0.0,1.0,1,0.0,0.42002551243643765
21,1,2,1,0,0.0,1.0,2,0.7123138721382855,0.11189278576104016
21,1,2,1,1,0.0,0.0,2,0.0,0.017413863023918782
21,1,2,1,1,0.0,1.0,0,0.5832231325475615,0.9743715024784866
21,1,2,1,1,1.0,1.0,1,0.485565394300132,0.49908131226532126
21,1,3,1,1,1.0,1.0,0,0.6046337379451555,0.8507167434489993
21,2,1,0,0,0.0,1.0,1,0.5009316332380211,0.2887796784592928
21,2,2,1,0,1.0,1.0,1,0.3471402273329383,0.8409529610077762
21,3,1,1,1,0.0,1.0,0,0.7035170335493587,0.7696166983946967
21,3,1,1,1,2.0,0.0,2,0.4105289920700473,0.5232349689395337
21,3,2,0,1,0.0,1.0,1,0.0,0.2779758466933592
21,3,2,1,1,0.0,1.0,0,0.0,0.018076176274834245
21,3,2,1,1,1.0,1.0,2,0.6611399871557413,0.8227065184725142
21,4,1,1,1,0.0,0.0,0,0.0,0.18467148612692508
21,4,1,1,1,0.0,0.0,3,0.549667197546223,0.8862028823752669
21,4,2,0,0,0.0,0.0,2,0.0,0.12418906005523525
21,4,2,0,1,0.0,0.0,1,0.8387193381982303,0.986525163153081
21,4,2,1,0,0.0,1.0,3,0.3229422750886626,0.8384350205444621
21,5,1,1,1,2.0,1.0,0,0.4510086944065617,0.2706754495054277
21,6,1,1,1,0.0,0.0,2,0.3047737828534287,0.8675835542294289
21,6,1,1,1,1.0,1.0,2,0.390423458385036,0.8248522233873334
21,7,1,1,1,2.0,0.0,0,0.46273696224630495,0.7404509130621975
21,7,2,0,0,0.0,1.0,0,0.0,0.8787456202067297
21,7,2,0,1,2.0,0.0,1,0.0,0.7714151201439737
21,8,1,1,0,0.0,1.0,2,0.39208453121345005,0.0909657872326807
21,8,1,1,0,1.0,1.0,2,0.5273537953198448,0.5333103311366235
21,8,1,1,1,1.0,0.0,2,0.6111832895977806,0.8164994256951539
21,8,2,0,1,0.0,1.0,3,0.6651428474405685,0.9728532574860899
21,8,2,1,0,0.0,0.0,2,0.0,0.3433080359174301
21,8,2,1,0,1.0,0.0,2,0.533979194500843,0.25143656219168925
21,8,2,1,1,0.0,0.0,2,0.0,0.7789309379045699
21,8,2,1,1,2.0,1.0,2,0.0,0.7738527029331301
21,9,2,0,1,0.0,1.0,3,0.0,0.6963062972513876
21,9,2,1,1,0.0,1.0,2,0.4788812461665213,0.169778463843297
21,9,2,1,1,2.0,1.0,2,0.0,0.13159176701374978
21,10,1,0,0,0.0,1.0,1,0.5010488521455067,0.8753880495587328
21,10,2,0,1,0.0,0.0,1,0.0,0.6792634696613526
21,10,2,1,0,0.0,1.0,0,0.643791110566047,0.046260367865131116
22,0,1,0,0,1.0,0.0,2,0.4501816255356907,0.7761739746145756
22,0,2,1,1,0.0,1.0,0,0.4020992347928994,0.19382386017864703
22,1,1,1,1,0.0,1.0,0,0.3041818293634679,0.9739507122930239
