CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,CreditScoreBins,Geography_France,Geography_Germany,Geography_Spain,Gender_Male,Gender_Female
350,0.2702702702702703,0,0.44280468615763485,1,1,1,0.8616304357066099,0,1,0,0,0,1
350,0.28378378378378377,0,0.43736163954058005,2,0,0,0.6180116701144959,0,0,1,0,1,0
350,0.44594594594594594,10,0.0,1,1,1,0.6291211310680169,0,1,0,0,1,0
351,0.5270270270270271,4,0.6502499082396364,1,1,0,0.8481315465626967,0,0,1,0,0,1
358,0.4594594594594595,8,0.5721141998330876,3,1,0,0.7098054364191779,0,0,0,1,0,1
363,0.13513513513513514,6,0.5823018820111385,3,1,0,0.5030658427879862,0,0,0,1,0,1
367,0.32432432432432434,6,0.3730928362188808,1,1,0,0.844106362157586,0,0,0,1,1,0
373,0.32432432432432434,7,0.0,1,1,0,0.3889110910091913,0,1,0,0,1,0
376,0.3783783783783784,6,0.0,1,1,0,0.7866856784822951,0,1,0,0,0,1
382,0.24324324324324326,0,0.0,1,1,1,0.8977314833566605,0,0,0,1,1,0
386,0.472972972972973,1,0.5259309467042974,1,1,1,0.3125451980664153,0,0,0,1,0,1
395,0.21621621621621623,5,0.4225284855695793,1,1,1,0.08683324257466586,0,0,1,0,0,1
399,0.3783783783783784,2,0.508793111976261,1,1,0,0.699982348314264,0,0,1,0,1,0
401,0.40540540540540543,8,0.5107259684599433,1,1,0,0.8787937748054938,0,0,1,0,1,0
404,0.4864864864864865,4,0.5000279994160179,1,1,0,0.4185603725155752,0,0,1,0,0,1
405,0.28378378378378377,10,0.0,1,1,0,0.8040731389847731,0,1,0,0,1,0
407,0.2567567567567568,1,0.0,1,1,1,0.2457711711468445,0,0,0,1,1,0
408,0.2972972972972973,3,0.0,2,0,0,0.6243728776098116,0,1,0,0,1,0
410,0.43243243243243246,2,0.40765073181704975,2,1,0,0.4490973888006304,0,0,1,0,0,1
410,0.20270270270270271,6,0.5013577026433322,1,0,0,0.331641571770104,0,1,0,0,1,0
410,0.22972972972972974,7,0.46705712267478805,1,1,1,0.54866314733057,0,1,0,0,0,1
411,0.2702702702702703,0,0.23793393564693938,2,1,1,0.267383685141931,0,1,0,0,1,0
411,0.22972972972972974,2,0.0,2,1,1,0.4691158005589533,0,1,0,0,0,1
411,0.24324324324324326,10,0.0,1,0,0,0.6034714815264858,0,1,0,0,0,1
412,0.14864864864864866,5,0.0,2,0,0,0.06250071881864717,0,1,0,0,1,0
413,0.28378378378378377,1,0.5220038542342033,2,1,1,0.7944769225461031,0,0,1,0,1,0
413,0.22972972972972974,2,0.0,2,1,1,0.3048354117818251,0,0,0,1,1,0
413,0.21621621621621623,9,0.0,2,0,0,0.03261611483896712,0,1,0,0,1,0
414,0.2702702702702703,8,0.0,1,0,1,0.3882847811966042,0,1,0,0,1,0
415,0.472972972972973,5,0.6666429385731873,1,1,1,0.11173902107651279,0,0,0,1,1,0
415,0.1891891891891892,5,0.5811426862595885,1,1,1,0.015266807980162105,0,1,0,0,1,0
415,0.3783783783783784,9,0.5378685425624404,3,0,0,0.8929641780790064,0,1,0,0,1,0
416,0.1891891891891892,0,0.0,2,0,1,0.004336864170528285,0,1,0,0,1,0
416,0.0945945945945946,0,0.3895564529805708,2,1,1,0.8026354016808604,0,0,1,0,0,1
416,0.22972972972972974,8,0.0,1,0,0,0.5985631627820456,0,0,0,1,1,0
416,0.31081081081081086,10,0.48700912788933554,2,1,0,0.4914970879719013,0,0,1,0,0,1
417,0.21621621621621623,7,0.0,2,1,0,0.274987311288228,0,1,0,0,1,0
418,0.22972972972972974,7,0.0,2,1,1,0.44437528783998864,0,1,0,0,1,0
418,0.3783783783783784,9,0.0,1,1,1,0.40505328258848716,0,1,0,0,0,1
420,0.21621621621621623,1,0.5402587959119179,1,0,0,0.7473691237513183,0,0,1,0,0,1
420,0.17567567567567569,1,0.43195924687987863,2,1,1,0.049469974382553523,0,0,1,0,0,1
420,0.5,4,0.3662575510240035,1,1,0,0.7243626766356187,0,0,0,1,0,1
421,0.21621621621621623,6,0.3615944625166338,1,1,1,0.06076170274261192,0,0,0,1,1,0
421,0.13513513513513514,8,0.4877845821783658,3,1,1,0.4450715043286634,0,0,1,0,1,0
422,0.20270270270270271,2,0.0,2,1,0,0.5132676670622044,0,1,0,0,0,1
422,0.4864864864864865,3,0.5580529528941414,1,0,1,0.4317381809962851,0,1,0,0,1,0
422,0.4864864864864865,4,0.0,2,1,1,0.035779066900889035,0,0,0,1,0,1
422,0.31081081081081086,6,0.6107614450153847,1,1,0,0.05826311412739916,0,1,0,0,1,0
424,0.21621621621621623,7,0.0,1,1,1,0.08120290487741579,0,0,0,1,1,0
425,0.28378378378378377,4,0.0,2,1,0,0.9861678790324476,0,1,0,0,1,0
425,0.28378378378378377,5,0.0,2,1,0,0.704716750449668,0,0,0,1,0,1
425,0.05405405405405406,7,0.6761698743900363,2,0,1,0.6818322149765302,0,0,0,1,0,1
426,0.21621621621621623,3,0.0,2,1,1,0.3061254849838159,0,1,0,0,0,1
426,0.21621621621621623,9,0.0,2,1,0,0.5393781606143386,0,1,0,0,1,0
427,0.14864864864864866,1,0.5632787399856253,1,1,1,0.4691834070153699,0,1,0,0,1,0
427,0.2567567567567568,5,0.0,2,1,1,0.6074256091456733,0,1,0,0,1,0
427,0.20270270270270271,8,0.0,1,1,1,0.0692434627506927,0,1,0,0,1,0
427,0.2972972972972973,8,0.0,2,1,1,0.4143354190325176,0,0,0,1,1,0
427,0.28378378378378377,9,0.0,2,1,0,0.14179749166045355,0,0,0,1,0,1
428,0.5945945945945946,1,0.42940115646157373,1,0,1,0.2918788244277328,0,1,0,0,0,1
428,0.17567567567567569,2,0.0,2,1,0,0.2724052647027791,0,1,0,0,0,1
429,0.08108108108108109,4,0.38159616918566425,1,1,0,0.23081789310879186,0,1,0,0,1,0
429,0.28378378378378377,6,0.19140771458244266,1,1,0,0.3743327987822837,0,1,0,0,0,1
429,0.12162162162162163,6,0.46755015153762236,2,1,1,0.12005601534946586,0,1,0,0,0,1
429,0.5675675675675675,7,0.0,2,1,1,0.8184776646169709,0,1,0,0,1,0
430,0.22972972972972974,1,0.4738745520143259,1,0,0,0.014561540627129891,0,1,0,0,1,0
430,0.2702702702702703,1,0.5539798250357347,2,0,0,0.6118676333589858,0,0,1,0,1,0
430,0.41891891891891897,3,0.5464974245120798,1,1,0,0.732596362952662,0,0,1,0,1,0
430,0.17567567567567569,5,0.0,1,1,0,0.4782635741713333,0,1,0,0,1,0
430,0.6486486486486487,6,0.5396306922862586,2,1,1,0.8642849392116947,0,0,1,0,0,1
430,0.5675675675675675,7,0.29468944940951924,1,1,0,0.8097075270688351,0,1,0,0,0,1
430,0.2702702702702703,8,0.6100430656925289,1,1,0,0.4968759016486074,0,0,1,0,0,1
430,0.20270270270270271,8,0.0,1,1,1,0.3487749580084898,0,1,0,0,0,1
430,0.2702702702702703,9,0.0,2,1,1,0.06020169926227954,0,1,0,0,1,0
431,0.2567567567567568,0,0.4813272193502948,1,1,1,0.5851133783276302,0,1,0,0,1,0
431,0.35135135135135137,2,0.5533868352684551,1,1,0,0.18840164235684503,0,0,1,0,0,1
431,0.3648648648648649,5,0.3333008633106773,2,0,0,0.18445781572140138,0,0,1,0,1,0
431,0.6081081081081081,6,0.6416266062447906,1,1,1,0.8400631760333113,0,1,0,0,1,0
431,0.32432432432432434,8,0.481561497737986,2,1,0,0.6307685383954167,0,0,1,0,1,0
432,0.2702702702702703,2,0.5402982541636726,2,1,1,0.3592579091303219,0,0,1,0,1,0
432,0.3648648648648649,3,0.4392984418494378,1,1,0,0.21519615123244265,0,0,1,0,0,1
432,0.12162162162162163,6,0.24846665831533435,2,0,0,0.26934117208193376,0,1,0,0,0,1
432,0.2702702702702703,7,0.0,2,1,0,0.752918403707554,0,0,0,1,1,0
433,0.12162162162162163,2,0.0,2,1,1,0.7685087425849169,0,0,0,1,1,0
433,0.21621621621621623,9,0.6090390723978808,1,1,0,0.09839144638312958,0,0,0,1,1,0
433,0.41891891891891897,10,0.0,1,1,1,0.4385420307639379,0,1,0,0,0,1
434,0.20270270270270271,3,0.0,1,1,1,0.013641952806493019,0,0,0,1,1,0
434,0.31081081081081086,4,0.4309658953561584,1,0,1,0.28388976147222056,0,1,0,0,1,0
434,0.5,6,0.0,1,0,1,0.36778747370373865,0,0,0,1,1,0
434,0.5,8,0.435791161263922,2,1,0,0.48201753267437036,0,0,1,0,1,0
434,0.7162162162162162,9,0.4762765232688699,1,1,0,0.6292465930496361,0,0,1,0,1,0
434,0.5405405405405406,9,0.5014029002771604,2,1,0,0.30443017308152925,0,0,1,0,0,1
435,0.1891891891891892,2,0.22725186947417578,2,1,1,0.02948046538444421,0,0,1,0,1,0
435,0.35135135135135137,3,0.6047859909973807,1,1,0,0.8373295649734549,0,0,1,0,1,0
435,0.24324324324324326,4,0.0,1,1,1,0.9851121782130193,0,1,0,0,1,0
435,0.2567567567567568,8,0.4557479891536839,1,0,1,0.004847212908832793,0,0,1,0,1,0
